time,USD,EUR,GBP,JPY,CHF,CAD
2007-09-28,,,,,,
2007-10-01,3.8245821731475753,5.949240690990756,8.11591029465025,-24.660313090624776,2.9017307910323122,3.8688491408038788
2007-10-02,3.841638242037226,5.941072910050006,8.123154685582858,-24.662326278482077,2.888376674465735,3.868083766346256
2007-10-03,3.857793856330101,5.934195221730097,8.1269748492081,-24.671722362204235,2.880361966035057,3.8723964689008756
2007-10-04,3.8643272624624667,5.930538334430631,8.127362285473655,-24.683002605651858,2.884762447669551,3.8760122756155533
2007-10-05,3.85527312058801,5.925640205255764,8.128108957274256,-24.70416098062578,2.875404548829465,3.9197341486782835
2007-10-08,3.859097358284209,5.91871559093713,8.133011007927191,-24.72736525796389,2.858955467872783,3.9575858329425766
2007-10-09,3.865465097913922,5.914399833844467,8.128480868879265,-24.716560243167372,2.8471369806343385,3.961077461895381
2007-10-10,3.853538769953813,5.92744478566268,8.133914895208004,-24.72916433662075,2.8479254481312584,3.966340437664994
2007-10-11,3.8486420318525214,5.944022562770199,8.118959588916098,-24.73888575976251,2.8458460405933907,3.981415535630303
2007-10-12,3.849467498461869,5.947290396758206,8.106159711078547,-24.744956763158868,2.8395184229823838,4.002520733877863
2007-10-15,3.844266394791888,5.946861698999759,8.11774874930513,-24.75332174983648,2.8425994104787278,4.0018454962609775
2007-10-16,3.8455277325692805,5.9436602389046405,8.114613128073426,-24.729528042852806,2.844512482906945,3.9812144603985127
2007-10-17,3.84102771759319,5.941739911833158,8.106718836113007,-24.714975749698887,2.844802135157043,3.980687149002492
2007-10-18,3.8189461826022537,5.94617965041813,8.105472515545983,-24.70353585040176,2.858470935420154,3.974466566415239
2007-10-19,3.7974699201369075,5.938305971307594,8.096122757754783,-24.675934805063054,2.8621180145364016,3.9819181413273705
2007-10-22,3.798838369946547,5.922190369490059,8.07979583386115,-24.62147477575946,2.85972072362138,3.9609294788403187
2007-10-23,3.8076159759581407,5.919880940784629,8.089251205758416,-24.6407457705811,2.8406473302100594,3.983350317869856
2007-10-24,3.795745435725327,5.919050073449073,8.09959616791124,-24.642366047898953,2.8383656709535474,3.9896086998597666
2007-10-25,3.7834912570639454,5.928031956651106,8.092129926702565,-24.641582786093785,2.8501664240456948,3.987763221630476
2007-10-26,3.772078612288616,5.942149156505499,8.08577811757769,-24.654728391660868,2.858433953767526,3.996288551521534
2007-10-29,3.7605829202831695,5.95363710788994,8.091080959435727,-24.679199396166915,2.852107966710804,4.021790441847272
2007-10-30,3.7545100547185144,5.94972460321932,8.102894010714383,-24.696209876727956,2.8522953349873847,4.036785873088356
2007-10-31,3.741501187966602,5.952597061737162,8.119640799302534,-24.728541890424328,2.858872313210919,4.055930528207112
2007-11-01,3.7383483002172575,5.9436310380770205,8.131460187103714,-24.731619946685218,2.8549307074443986,4.063249713842829
2007-11-02,3.7236347621288233,5.939906439441476,8.126340926580143,-24.730628229910252,2.8589914501983174,4.08175465156149
2007-11-05,3.7090393253314398,5.933704037060952,8.11524074872507,-24.732013909849165,2.8565323720307,4.117497426701006
2007-11-06,3.6931364750336035,5.930371435311394,8.10051259139206,-24.75078223311946,2.865028021449384,4.161733709933014
2007-11-07,3.661380984997187,5.938677077896908,8.09892415060878,-24.722437280967466,2.892156293502383,4.131298773962206
2007-11-08,3.6510193963913924,5.944188930128577,8.114512957427234,-24.692111352977292,2.9155375823792706,4.066852486650817
2007-11-09,3.6411683333614686,5.946221310581975,8.092662487761524,-24.651314565759776,2.9403345722336196,4.030927861821192
2007-11-12,3.6700697623194154,5.938976893684362,8.03365287373748,-24.53201643118267,2.9598985300529828,3.9294183713884268
2007-11-13,3.6828742146508606,5.943142599730753,8.032254294434832,-24.530344509018256,2.964493818548491,3.907579581653314
2007-11-14,3.68011419470955,5.971954630334499,8.030399752264703,-24.585389249319196,2.981628781571303,3.921291890439141
2007-11-15,3.7005789984619786,5.987349928602027,8.003744243869667,-24.54705685610479,3.0074976922055727,3.8478859929655433
2007-11-16,3.702304446727572,5.987163990769117,8.00113091149172,-24.535878540532522,3.0227215944078747,3.822557597136236
2007-11-19,3.6911313229348037,5.986843912489415,8.001066165668844,-24.529719379812473,3.0310672563934897,3.819610722325919
2007-11-20,3.675308882947471,6.0054603674271405,8.007207954175215,-24.52135637013753,3.0445606566705536,3.7888185089171493
2007-11-21,3.657358065564447,6.022343026102407,8.002408574578991,-24.498271302621415,3.061107482767104,3.7550541536084645
2007-11-22,3.650210119212689,6.021248210273384,7.995549424530896,-24.477896418243105,3.069207883942849,3.7416807802832865
2007-11-23,3.644074395008752,6.018830551018008,7.991695767350876,-24.460404398947194,3.074161946496658,3.7316417390728978
2007-11-26,3.6436695250134106,6.015541287851034,8.000301159345362,-24.448570082869097,3.068418125298315,3.720639985360975
2007-11-27,3.6494257108482433,6.022132828427293,8.011824360474321,-24.45346682282716,3.0725713594799817,3.697512563597322
2007-11-28,3.669327067920107,6.026461644468084,8.038434326469039,-24.499112591659436,3.044761464746607,3.720128088055601
2007-11-29,3.680827916265632,6.027098173691417,8.04436827884038,-24.515439837345113,3.028225967595504,3.7349195009521785
2007-11-30,3.7113990048231074,6.0250104472258466,8.049629879681529,-24.519543574949765,3.010996700160779,3.7225075430585015
2007-12-03,3.7219782504975236,6.016741976540493,8.05789356406406,-24.513790402917515,2.9961474403902852,3.7210291714251533
2007-12-04,3.7146417342839237,6.029563322640874,8.054967118633467,-24.492658853951752,3.019744520845315,3.673742157548173
2007-12-05,3.733138851575731,6.040396541374883,8.018041236665818,-24.490471129642295,3.0423304763155974,3.6565640237102652
